Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,0.187100894,Cn1ncc(c1)B1OC(C(O1)(C)C)(C)C,C10H17BN2O2,208.07,15,5,0.7,1,3,0,59.96,36.28,0.0,1.22,0.72,0.3,0.29,0.51,-2.08,1.73,0.00833,Soluble,-1.58,5.48,0.0264,Very soluble,-2.4,0.823,0.00395,Soluble,High,Yes,Yes,No,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,2.81
Molecule 14,0.152005175,FC(COS(=O)(=O)c1ccc(cc1)C)(F)F,C9H9F3O3S,254.23,16,6,0.33,4,6,0,50.58,51.75,2.34,2.56,4.6,2.55,2.09,2.83,-3.04,0.231,0.000907,Soluble,-3.29,0.129,0.000508,Soluble,-3.75,0.0456,0.000179,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.03,0,0,0,0,0,0.55,0,1,0,2.29
Molecule 19,0.218671679,O=Cc1ccc(o1)c1ccc(cc1)S(=O)(=O)N,C11H9NO4S,251.26,17,11,0.0,3,5,1,60.53,98.75,0.75,1.01,2.49,-0.47,1.16,0.99,-2.31,1.22,0.00484,Soluble,-2.67,0.533,0.00212,Soluble,-3.65,0.0565,0.000225,Soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,0,2.71
Molecule 23,0.156187955,N#Cc1ccc(cc1)NC(=O)/C=C/C(=O)O,C11H8N2O3,216.19,16,6,0.0,4,4,2,56.38,90.19,1.04,1.14,0.95,0.44,0.88,0.89,-1.91,2.65,0.0122,Very soluble,-2.63,0.509,0.00235,Soluble,-1.96,2.4,0.0111,Soluble,High,No,No,No,No,No,No,No,-6.81,0,0,0,0,0,0.56,0,1,1,1.88
Molecule 24,0.17090216,CCOC(=O)/C(=C/c1ccco1)/C#N,C10H9NO3,191.18,14,5,0.2,4,4,0,49.06,63.23,2.11,2.02,1.64,0.03,1.68,1.5,-2.3,0.962,0.00503,Soluble,-2.98,0.202,0.00106,Soluble,-2.27,1.02,0.00536,Soluble,High,Yes,No,Yes,No,No,No,No,-6.03,0,0,0,0,1,0.55,0,2,1,2.68
Molecule 25,0.17539267,COc1ccc(cc1)/C=C/C(=O)N1CCOCC1,C14H17NO3,247.29,18,6,0.36,4,3,0,73.04,38.77,2.78,1.41,1.08,1.05,2.34,1.73,-2.24,1.41,0.0057,Soluble,-1.83,3.67,0.0148,Very soluble,-2.75,0.435,0.00176,Soluble,High,Yes,No,No,Yes,No,No,No,-6.81,0,0,0,0,0,0.55,0,1,1,2.34
Molecule 26,0.183673469,COc1ccc(cc1)/C=C/C(=O)N1CCCCC1,C15H19NO2,245.32,18,6,0.4,4,2,0,76.76,29.54,3.06,2.71,2.23,2.15,2.96,2.62,-3.05,0.218,0.000889,Soluble,-2.98,0.255,0.00104,Soluble,-3.29,0.125,0.000508,Soluble,High,Yes,No,No,Yes,No,No,No,-5.87,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 28,0.108144192,O=C(/C=C/C(=O)N)NCc1ccccc1,C11H12N2O2,204.23,15,6,0.09,5,2,2,56.07,72.19,1.46,0.07,0.19,0.68,0.97,0.67,-1.12,15.6,0.0765,Very soluble,-1.14,14.8,0.0725,Very soluble,-2.49,0.664,0.00325,Soluble,High,No,No,No,No,No,No,No,-7.5,0,0,0,0,0,0.55,0,1,1,1.62
Molecule 29,0.187866928,COc1ccccc1NC(=O)/C=C/C(=O)N,C11H12N2O3,220.22,16,6,0.09,5,3,2,59.29,81.42,1.7,-0.21,0.48,0.38,0.66,0.6,-1.02,21.0,0.0954,Very soluble,-1.04,19.9,0.0906,Very soluble,-2.21,1.35,0.00612,Soluble,High,No,No,No,No,No,No,No,-7.79,0,0,0,0,0,0.55,0,1,1,1.95
Molecule 30,0.169435216,O=C(Nc1ccccc1Cl)/C=C/C(=O)N,C10H9ClN2O2,224.64,15,6,0.0,4,2,2,57.81,72.19,1.48,0.4,1.13,1.21,1.26,1.1,-1.52,6.83,0.0304,Very soluble,-1.48,7.4,0.0329,Very soluble,-2.7,0.447,0.00199,Soluble,High,No,No,No,No,No,No,No,-7.39,0,0,0,0,0,0.55,0,1,1,1.9
